brand,model,column,parameter,value,unit,source
Aug. Förster,стандарт,6,капсюль репетиционного рычага - капсюль шпиллера,5,,tmp_forss/crops/p2_right_top_end.png.tsv
Aug. Förster,стандарт,6,каспюль демпферной фигуры,2,,tmp_forss/crops/p2_right_top_end.png.tsv
Aug. Förster,стандарт,6,каспюль демпфера - капсюль язычка тонхальтера Расстояние от штанги до язычков тонхальтера,2-4,,tmp_forss/crops/p2_right_top_end.png.tsv
Petrof,Model IV 174 см,10,Высота белых клавиш без облицовки над штульрамой,63,мм,tmp_forss/crops/p2_right_table.png.tsv
Sauter,стандарт,11,Высота белых клавиш с облицовкой над штульрамой,65,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,<200 см,12a,Высота белых клавиш с облицовкой над штульрамой,62,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,>200 см,12b,Высота белых клавиш с облицовкой над штульрамой,12.0-,мм,tmp_forss/crops/p2_right_table.png.tsv
Kimball,стандарт,9,Высота черных клавиш над белыми,12.7,мм,tmp_forss/crops/p2_right_table.png.tsv
Petrof,Model IV 174 см,10,Высота черных клавиш над белыми,12,мм,tmp_forss/crops/p2_right_table.png.tsv
Sauter,стандарт,11,Высота черных клавиш над белыми,12.5,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,<200 см,12a,Высота черных клавиш над белыми,11.5,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,>200 см,12b,Высота черных клавиш над белыми,12.5,мм,tmp_forss/crops/p2_right_table.png.tsv
Kimball,стандарт,9,Нажатая черная клавиша над ненажатой белой,2.4,мм,tmp_forss/crops/p2_right_table.png.tsv
Petrof,Model IV 174 см,10,Нажатая черная клавиша над ненажатой белой,1.5,мм,tmp_forss/crops/p2_right_table.png.tsv
Sauter,стандарт,11,Нажатая черная клавиша над ненажатой белой,1.5,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,<200 см,12a,Нажатая черная клавиша над ненажатой белой,1.0,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,>200 см,12b,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подъема демпферов, относительно штульрамы",10.1-,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,<200 см,12a,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подъема демпферов, относительно штульрамы",9.80-,мм,tmp_forss/crops/p2_right_table.png.tsv
Kimball,стандарт,9,Друк белых клавиш,10.3,мм,tmp_forss/crops/p2_right_table.png.tsv
Petrof,Model IV 174 см,10,Друк белых клавиш,10.5,мм,tmp_forss/crops/p2_right_table.png.tsv
Sauter,стандарт,11,Друк белых клавиш,10.0,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,<200 см,12a,Друк белых клавиш,10.2,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,>200 см,12b,Друк белых клавиш,10.5,мм,tmp_forss/crops/p2_right_table.png.tsv
