brand,model,parameter,value,unit,source_column,source
Schimmel,>200 см,Расстояние ауслезунга от струн в середине,2.0,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Расстояние ауслезунга от струн в середине,2,мм,13,Forss 2009
Kimball,стандарт,Расстояние ауслезунга от струн в дискантах,3.2,мм,9,Forss 2009
Petrof,Model IV 174 см,Расстояние ауслезунга от струн в дискантах,2,мм,10,Forss 2009
Sauter,стандарт,Расстояние ауслезунга от струн в дискантах,1.5,мм,11,Forss 2009
Schimmel,<200 см,Расстояние ауслезунга от струн в дискантах,1.5,мм,12a,Forss 2009
Schimmel,>200 см,Расстояние ауслезунга от струн в дискантах,1.5,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Расстояние ауслезунга от струн в дискантах,1.5,мм,13,Forss 2009
Kimball,стандарт,Расстояние абника от струн в басах,4.8,мм,9,Forss 2009
Petrof,Model IV 174 см,Расстояние абника от струн в басах,4.0,мм,10,Forss 2009
Kimball,стандарт,Расстояние абника от струн в середине,4.8,мм,9,Forss 2009
Petrof,Model IV 174 см,Расстояние абника от струн в середине,4.0,мм,10,Forss 2009
Kimball,стандарт,Расстояние абника от струн в дискантах,4.8,мм,9,Forss 2009
Petrof,Model IV 174 см,Расстояние абника от струн в дискантах,4.0,мм,10,Forss 2009
Sauter,стандарт,Расстояние абника от уровня ауслезунга в басах,2,мм,11,Forss 2009
Schimmel,<200 см,Расстояние абника от уровня ауслезунга в басах,2.0,мм,12a,Forss 2009
Schimmel,>200 см,Расстояние абника от уровня ауслезунга в басах,2.0,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Расстояние абника от уровня ауслезунга в басах,1.5,мм,13,Forss 2009
Sauter,стандарт,Расстояние абника от уровня ауслезунга в середине,2,мм,11,Forss 2009
Schimmel,<200 см,Расстояние абника от уровня ауслезунга в середине,1.5,мм,12a,Forss 2009
Schimmel,>200 см,Расстояние абника от уровня ауслезунга в середине,1.5,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Расстояние абника от уровня ауслезунга в середине,1.5,мм,13,Forss 2009
Sauter,стандарт,Расстояние абника от уровня ауслезунга в дискантах,2,мм,11,Forss 2009
Schimmel,<200 см,Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,12a,Forss 2009
Schimmel,>200 см,Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Расстояние абника от уровня ауслезунга в дискантах,1.5,мм,13,Forss 2009
Kimball,стандарт,Подхват на фенгер от струн в басах,16,мм,9,Forss 2009
Petrof,Model IV 174 см,Подхват на фенгер от струн в басах,16,мм,10,Forss 2009
Sauter,стандарт,Подхват на фенгер от струн в басах,15,мм,11,Forss 2009
Schimmel,<200 см,Подхват на фенгер от струн в басах,17-14,мм,12a,Forss 2009
Schimmel,>200 см,Подхват на фенгер от струн в басах,17-14,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Подхват на фенгер от струн в басах,15,мм,13,Forss 2009
Kimball,стандарт,Подхват на фенгер от струн в середине,16,мм,9,Forss 2009
Petrof,Model IV 174 см,Подхват на фенгер от струн в середине,16,мм,10,Forss 2009
Sauter,стандарт,Подхват на фенгер от струн в середине,15,мм,11,Forss 2009
Schimmel,<200 см,Подхват на фенгер от струн в середине,16-13,мм,12a,Forss 2009
Schimmel,>200 см,Подхват на фенгер от струн в середине,16-13,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Подхват на фенгер от струн в середине,15,мм,13,Forss 2009
Kimball,стандарт,Подхват на фенгер от струн в дискантах,16,мм,9,Forss 2009
Petrof,Model IV 174 см,Подхват на фенгер от струн в дискантах,16,мм,10,Forss 2009
Sauter,стандарт,Подхват на фенгер от струн в дискантах,15,мм,11,Forss 2009
Schimmel,<200 см,Подхват на фенгер от струн в дискантах,15-12,мм,12a,Forss 2009
Schimmel,>200 см,Подхват на фенгер от струн в дискантах,15-12,мм,12b,Forss 2009
Seiler,180 / 206 / 240,Подхват на фенгер от струн в дискантах,15,мм,13,Forss 2009
Petrof,Model IV 174 см,Позиция молотков относительно хоров струн,0-3,мм,10,Forss 2009
Petrof,Model IV 174 см,Нахдрук,2.0,мм,10,Forss 2009
Sauter,стандарт,Нахдрук,2.0,мм,11,Forss 2009
Schimmel,<200 см,Нахдрук,2.0,мм,12a,Forss 2009
Schimmel,>200 см,Нахдрук,2.0,мм,12b,Forss 2009
Sauter,стандарт,Позиция шпиллера относительно плоскости репетиционного рычага,0.3,мм,11,Forss 2009
Schimmel,<200 см,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,12a,Forss 2009
Schimmel,>200 см,Позиция шпиллера относительно плоскости репетиционного рычага,0.1,мм,12b,Forss 2009
Sauter,стандарт,Положение шпиллера относительно задней грани керна барабанчика,0.5,мм,11,Forss 2009
Schimmel,<200 см,Зазор между шпиллером и ограничительным польстером после ауслезунга,1.5-2.0,мм,12a,Forss 2009
Schimmel,>200 см,Зазор между шпиллером и ограничительным польстером после ауслезунга,1.5-2.0,мм,12b,Forss 2009
Schimmel,<200 см,Полуход / момент начала подъема демпфера,23-19,мм,12a,Forss 2009
Schimmel,>200 см,Полуход / момент начала подъема демпфера,23-19,мм,12b,Forss 2009
Petrof,Model IV 174 см,Расстояние между фильцем клавиш и ложками демпфера в исходном положении,3.0,мм,10,Forss 2009
Petrof,Model IV 174 см,Люфт демпферных проволок в отверстиях направляющего лейстика,0.3,мм,10,Forss 2009
Schimmel,<200 см,Люфт демпферных проволок в отверстиях направляющего лейстика,0.1-0.2,мм,12a,Forss 2009
Schimmel,>200 см,Люфт демпферных проволок в отверстиях направляющего лейстика,0.1-0.2,мм,12b,Forss 2009
Petrof,Model IV 174 см,Расстояние между черными клавишами и шуцлейстиком или фильцем клапа,2.0,мм,10,Forss 2009
Schimmel,<200 см,Расстояние между черными клавишами и шуцлейстиком или фильцем клапа,1.0-1.5,мм,12a,Forss 2009
Schimmel,>200 см,Расстояние между черными клавишами и шуцлейстиком или фильцем клапа,1.0-1.5,мм,12b,Forss 2009
Petrof,Model IV 174 см,Минимальный статический игровой вес без демпферов в басах,53,г,10,Forss 2009
Sauter,стандарт,Минимальный статический игровой вес без демпферов в басах,52,г,11,Forss 2009
Schimmel,<200 см,Минимальный статический игровой вес без демпферов в басах,58,г,12a,Forss 2009
Schimmel,>200 см,Минимальный статический игровой вес без демпферов в басах,58,г,12b,Forss 2009
Petrof,Model IV 174 см,Минимальный статический игровой вес без демпферов в середине,53,г,10,Forss 2009
Sauter,стандарт,Минимальный статический игровой вес без демпферов в середине,52,г,11,Forss 2009
Schimmel,<200 см,Минимальный статический игровой вес без демпферов в середине,53,г,12a,Forss 2009
Schimmel,>200 см,Минимальный статический игровой вес без демпферов в середине,53,г,12b,Forss 2009
Petrof,Model IV 174 см,Минимальный статический игровой вес без демпферов в дискантах,53,г,10,Forss 2009
Sauter,стандарт,Минимальный статический игровой вес без демпферов в дискантах,52,г,11,Forss 2009
Schimmel,<200 см,Минимальный статический игровой вес без демпферов в дискантах,50,г,12a,Forss 2009
Schimmel,>200 см,Минимальный статический игровой вес без демпферов в дискантах,50,г,12b,Forss 2009
Schimmel,<200 см,Максимальный статический игровой вес с демпферами в басах,114,г,12a,Forss 2009
Schimmel,>200 см,Максимальный статический игровой вес с демпферами в басах,114,г,12b,Forss 2009
Schimmel,<200 см,Максимальный статический игровой вес с демпферами в середине,95,г,12a,Forss 2009
Schimmel,>200 см,Максимальный статический игровой вес с демпферами в середине,95,г,12b,Forss 2009
Schimmel,<200 см,Максимальный статический игровой вес с демпферами в дискантах,72,г,12a,Forss 2009
Schimmel,>200 см,Максимальный статический игровой вес с демпферами в дискантах,72,г,12b,Forss 2009
Petrof,Model IV 174 см,"Вес подъема клавиши в басах, середине и дискантах",17-19,г,10,Forss 2009
Sauter,стандарт,"Вес подъема клавиши в басах, середине и дискантах",25-28,г,11,Forss 2009
Petrof,Model IV 174 см,Сдвиг механики от левой педали,4,мм,10,Forss 2009
Sauter,стандарт,Сдвиг механики от левой педали,2,мм,11,Forss 2009
Kimball,стандарт,Трение в оси капсюля молотка,3-8,г,9,Forss 2009
Kimball,стандарт,Трение в оси капсюля фигуры,4-10,г,9,Forss 2009
Kimball,стандарт,Трение в оси капсюля шпиллера,2-4,г,9,Forss 2009
Samick,SG-140A,Высота белых клавиш с облицовкой над штульрамой,64,мм,14a,Forss 2009
